algorithm,dataset_name,dataset_dimensions(elements|features|classes),PCA,adversarial_noise,accuracy,precision,recall,f1
MLKR,vehicle,(846|18|4),0,0.2,0.5981087470449172,0.6175092481996451,0.6106619026891293,0.602285827398133
MLKR,vehicle,(846|18|4),0,0.3,0.6099290780141844,0.6062425741967884,0.6139348928339754,0.6094445968718156
LFDA,vehicle,(846|18|4),0,0,0.7470449172576832,0.7532856178908811,0.7542913888494822,0.7537563839945981
LFDA,vehicle,(846|18|4),0,0.1,0.7494089834515366,0.746855441061933,0.754403093919223,0.7493499204098112
LFDA,vehicle,(846|18|4),0,0.2,0.7470449172576832,0.7475557755110962,0.755540710707812,0.7500998970589863
LFDA,vehicle,(846|18|4),0,0.3,0.7635933806146572,0.7591187684177512,0.7649950772862821,0.7614276893325784
LMNN,vehicle,(846|18|4),0,0,0.7943262411347518,0.7969441322619562,0.8008291463273765,0.7975120261941825
LMNN,vehicle,(846|18|4),0,0.1,0.7706855791962175,0.7868976929148083,0.7880773370462973,0.7869872513802427
LMNN,vehicle,(846|18|4),0,0.2,0.789598108747045,0.79006600990893,0.7928071383420625,0.7871739078165949
LMNN,vehicle,(846|18|4),0,0.3,0.7730496453900709,0.7680866350221189,0.7808452757932416,0.7726628543019409
RCA_Supervised,german_credit,(1000|24|2),0,0,0.664,0.5411562432839029,0.5258329960879535,0.5167525773195877
RCA_Supervised,german_credit,(1000|24|2),0,0.1,0.664,0.5425,0.5343406593406593,0.5341201526311119
RCA_Supervised,german_credit,(1000|24|2),0,0.2,0.67,0.5831202046035806,0.5583450210378682,0.5564301498459603
RCA_Supervised,german_credit,(1000|24|2),0,0.3,0.688,0.5926659797627539,0.5681398737251093,0.5699067028386159
MMC_Supervised,german_credit,(1000|24|2),0,0,0.694,0.6358305991007414,0.5819179537917514,0.5793906938129196
MMC_Supervised,german_credit,(1000|24|2),0,0.1,0.728,0.6569402781565312,0.6358486112203949,0.6429771505376344
MMC_Supervised,german_credit,(1000|24|2),0,0.2,0.724,0.6662232732288895,0.6275710828796128,0.6358531591057821
MMC_Supervised,german_credit,(1000|24|2),0,0.3,0.68,0.5970110461338531,0.5703038179729144,0.5710363761153054
